mysql> select * from esglesia where municipi is null;
+------+-----------------------------------------------------+----------+-----------+------------------------------------------------------------------+------------+-----------+------------+-----------+
| id   | nom                                                 | municipi | wikidata  | wikipedia                                                        | lat        | lon       | osm_id     | osm_tipus |
| 1052 | La Santíssima Trinitat de Faidella                  | NULL     | Q9007662  | ca:La Santíssima Trinitat de Faidella                            | 42.1615980 | 1.1475227 | 7687070742 | node      |
| 1057 | Sant Miquel de Collmorter                           | NULL     | Q18007131 | ca:Sant Miquel de Collmorter                                     | 42.1035362 | 0.8633776 | 7687110049 | node      |
| 1058 | Sant Gregori del Mas d'Eloi                         | NULL     | Q11947064 | ca:Sant Gregori del Mas d'Eloi                                   | 42.1276319 | 0.7983126 | 7687126680 | node      |
| 1060 | Sant Valentí de Mur                                 | NULL     | Q11947445 | ca:Sant Valentí de Mur                                           | 42.1066436 | 0.8538717 | 7687151326 | node      |
| 1064 | Mare de Déu de la Serreta                           | NULL     | Q8777255  | ca:Mare de Déu de la Serreta                                     | 42.2381611 | 0.9935066 | 7687166257 | node      |
| 1067 | Sant Antoni d'Aramunt                               | NULL     | Q5556056  | ca:Sant Antoni d'Aramunt                                         | 42.2002642 | 0.9971110 | 7687187466 | node      |
| 1068 | Sant Corneli d'Aramunt                              | NULL     | Q2888380  | ca:Sant Corneli d'Aramunt                                        | 42.1827430 | 1.0027554 | 7687186763 | node      |
| 1070 | Església de Sant Miquel                             | NULL     | Q11947239 | ca:Sant Miquel (Aramunt)                                         | 42.2050967 | 0.9659649 | 7687212094 | node      |
| 1073 | Sant Martí de Vilanoveta                            | NULL     | Q9007189  | ca:Sant Martí de Vilanoveta                                      | 42.1957834 | 1.0282954 | 7687225065 | node      |
| 1074 | Sant Pere de Vilanoveta                             | NULL     | Q9007295  | ca:Sant Pere de Vilanoveta                                       | 42.1972949 | 1.0225151 | 7709928961 | node      |
| 1077 | Sant Aleix de Serradell                             | NULL     | Q8777059  | ca:Sant Aleix de Serradell                                       | 42.2865824 | 0.8885112 | 7709982990 | node      |
| 1082 | Mare de Déu del Pont d'Orís                         | NULL     | Q11935354 | ca:Mare de Déu del Pont d'Orís                                   | 42.1140684 | 0.9378455 | 7710002470 | node      |
| 1086 | Sant Alís                                           | NULL     | Q20103429 | ca:Sant Alís (Sant Miquel de la Vall)                            | 42.0823040 | 0.9706628 | 7710034160 | node      |
| 1087 | Sant Fruitós d'Aransís                              | NULL     | Q11682843 | ca:Sant Fruitós d'Aransís                                        | 42.0865168 | 0.9461478 | 7710057387 | node      |
| 1094 | Santa Maria del Castelló Sobirà                     | NULL     | Q11947634 | ca:Santa Maria del Castelló Sobirà                               | 42.0443393 | 1.6180321 | 7711377874 | node      |
| 1096 | Sant Isidre de Presquiró                            | NULL     | Q18006849 | ca:Sant Isidre de Presquiró                                      | 42.0707974 | 1.0150361 | 7711417224 | node      |
| 1098 | Sant Llorenç de Castellnou                          | NULL     | Q11947173 | ca:Sant Llorenç de Castellnou                                    | 42.0752320 | 1.0498973 | 7711401722 | node      |
| 1100 | Sant Vicenç de Toló                                 | NULL     | Q9007337  | ca:Sant Vicenç de Toló                                           | 42.0581962 | 1.0316982 | 7711432322 | node      |
| 1104 | Sant Aventí                                         | NULL     | Q11946928 | ca:Sant Aventí                                                   | 42.3071998 | 0.9741753 | 7711476503 | node      |
| 1106 | Sant Cristòfol de Puimanyons                        | NULL     | Q649268   | ca:Sant Cristòfol de Puimanyons                                  | 42.2409680 | 0.9595677 | 7711488156 | node      |
| 1110 | Santa Magdalena de la Pobla de Segur                | NULL     | Q939955   | ca:Santa Magdalena de la Pobla de Segur                          | 42.2494403 | 0.9525300 | 7711496403 | node      |
| 1120 | Sant Martí de les Tombetes                          | NULL     | Q9007193  | ca:Sant Martí de les Tombetes                                    | 42.0620053 | 0.8261727 | 7711502247 | node      |
| 1127 | Sant Martí de Sarroca de Bellera                    | NULL     | Q11947208 | ca:Sant Martí de Sarroca de Bellera                              | 42.3599222 | 0.8785664 | 7716517437 | node      |
| 1128 | Santa Maria de Bellera                              | NULL     | Q8777207  | ca:Santa Maria de Bellera                                        | 42.3502010 | 0.9244039 | 5322283207 | node      |
| 1134 | Sant Genís de Bellera                               | NULL     | Q9034369  | ca:Sant Genís de Bellera                                         | 42.3600723 | 0.9228510 | 5322309455 | node      |
| 1135 | Sant Aventí de Cérvoles                             | NULL     | Q18006645 | ca:Sant Aventí de Cérvoles                                       | 42.3117798 | 0.9218957 | 7716532076 | node      |
| 1136 | Sant Miquel de Naens                                | NULL     | Q11947264 | ca:Sant Miquel de Naens                                          | 42.3297506 | 0.9156570 | 7716547247 | node      |
| 1137 | Santa Grata de Senterada                            | NULL     | Q11947535 | ca:Santa Grata de Senterada                                      | 42.3248944 | 0.9371970 | 7716539744 | node      |
| 1140 | Sant Esteve de Mont-ros                             | NULL     | Q11947003 | ca:Sant Esteve de Mont-ros                                       | 42.4047769 | 0.9798573 | 7716568908 | node      |
| 1141 | Sant Lleïr de Pobellà                               | NULL     | Q11947164 | ca:Sant Lleïr de Pobellà                                         | 42.3951365 | 1.0040060 | 7716568654 | node      |
